,RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
0,1,15598695,619,France,Female,42,2,0.0,1,1,1,101348.88,1,1,2,DIAMOND,464
1,2,15649354,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,1,3,DIAMOND,456
2,3,15737556,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1,3,DIAMOND,377
3,4,15671610,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0,5,GOLD,350
4,5,15625092,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0,5,GOLD,425
5,6,15741032,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,1,5,DIAMOND,484
6,7,15750014,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0,2,SILVER,206
7,8,15784761,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,1,2,DIAMOND,282
8,9,15768359,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0,3,GOLD,251
9,10,15805769,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0,3,GOLD,342
10,11,15719508,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0,3,GOLD,264
11,12,15609011,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0,3,GOLD,249
12,13,15703106,476,France,Female,34,10,0.0,2,1,0,26260.98,0,0,3,SILVER,119
13,14,15626795,549,France,Female,25,5,0.0,2,0,0,190857.79,0,0,3,PLATINUM,549
14,15,15773731,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0,2,GOLD,318
15,16,15756196,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0,5,GOLD,308
16,17,15687903,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0,2,SILVER,163
17,18,15777599,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0,3,SILVER,544
18,19,15754577,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0,3,PLATINUM,732
19,20,15584113,726,France,Female,24,6,0.0,2,1,1,54724.03,0,0,4,GOLD,477
20,21,15669589,732,France,Male,41,8,0.0,2,1,1,170886.17,0,0,3,PLATINUM,568
21,22,15632793,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0,2,DIAMOND,336
22,23,15711130,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,1,2,DIAMOND,887
23,24,15615254,669,France,Male,46,3,0.0,2,0,1,8487.75,0,0,2,SILVER,665
24,25,15720583,846,France,Female,38,5,0.0,1,1,1,187616.16,0,0,3,PLATINUM,225
25,26,15780432,577,France,Male,25,3,0.0,2,0,1,124508.29,0,0,3,PLATINUM,659
26,27,15673223,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0,5,DIAMOND,236
27,28,15807989,571,France,Male,44,9,0.0,2,0,0,38433.35,0,0,4,PLATINUM,448
28,29,15761168,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0,5,DIAMOND,499
29,30,15651272,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0,2,GOLD,343
30,31,15812832,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,1,3,DIAMOND,298
31,32,15680517,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0,5,SILVER,628
32,33,15750569,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0,3,GOLD,611
33,34,15690743,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0,2,SILVER,922
34,35,15627741,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0,5,PLATINUM,276
35,36,15712121,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,1,1,DIAMOND,877
36,37,15805429,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0,4,SILVER,471
37,38,15814923,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0,2,GOLD,994
38,39,15589230,850,France,Male,36,7,0.0,1,1,1,40812.9,0,0,3,GOLD,944
39,40,15775490,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0,5,GOLD,419
40,41,15749727,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0,4,DIAMOND,545
41,42,15619238,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,1,5,SILVER,828
42,43,15593468,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0,3,PLATINUM,789
43,44,15718454,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,1,2,GOLD,567
44,45,15789498,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0,1,PLATINUM,884
45,46,15744691,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0,1,SILVER,296
46,47,15708289,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,1,3,DIAMOND,779
47,48,15790412,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1,1,SILVER,730
48,49,15741416,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0,3,DIAMOND,960
49,50,15598894,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0,1,SILVER,268
50,51,15663294,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0,4,SILVER,829
51,52,15572728,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0,3,SILVER,665
52,53,15706729,788,France,Female,33,5,0.0,2,0,0,116978.19,0,0,3,GOLD,982
53,54,15674433,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,1,3,SILVER,343
54,55,15641170,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,1,2,DIAMOND,225
55,56,15806284,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0,5,SILVER,657
56,57,15690958,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,0,2,PLATINUM,221
57,58,15606386,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,0,2,PLATINUM,406
