Exited,PointEarned,Attrition_Status
1,464,Attrited
0,456,Retained
1,377,Attrited
0,350,Retained
0,425,Retained
1,484,Attrited
0,206,Retained
1,282,Attrited
0,251,Retained
0,342,Retained
0,264,Retained
0,249,Retained
0,119,Retained
0,549,Retained
0,318,Retained
0,308,Retained
1,163,Attrited
0,544,Retained
0,732,Retained
0,477,Retained
0,568,Retained
0,336,Retained
1,887,Attrited
0,665,Retained
0,225,Retained
0,659,Retained
0,236,Retained
0,448,Retained
0,499,Retained
0,343,Retained
1,298,Attrited
0,628,Retained
0,611,Retained
0,922,Retained
0,276,Retained
1,877,Attrited
0,471,Retained
0,994,Retained
0,944,Retained
0,419,Retained
0,545,Retained
1,828,Attrited
0,789,Retained
1,567,Attrited
0,884,Retained
0,296,Retained
1,779,Attrited
1,730,Attrited
0,960,Retained
0,268,Retained
0,829,Retained
0,665,Retained
0,982,Retained
1,343,Attrited
1,225,Attrited
0,657,Retained
0,221,Retained
0,406,Retained
1,549,Attrited
0,954,Retained
0,823,Retained
0,769,Retained
0,481,Retained
0,903,Retained
0,882,Retained
0,379,Retained
0,469,Retained
0,683,Retained
0,770,Retained
0,985,Retained
1,725,Attrited
0,259,Retained
0,979,Retained
0,988,Retained
0,833,Retained
0,527,Retained
0,220,Retained
0,983,Retained
0,582,Retained
0,281,Retained
0,798,Retained
1,917,Attrited
0,255,Retained
0,511,Retained
0,498,Retained
0,651,Retained
1,852,Attrited
0,807,Retained
1,470,Attrited
0,659,Retained
1,752,Attrited
0,559,Retained
0,375,Retained
0,411,Retained
0,722,Retained
0,231,Retained
0,488,Retained
0,965,Retained
0,289,Retained
0,449,Retained
0,651,Retained
0,520,Retained
0,234,Retained
0,458,Retained
1,915,Attrited
1,299,Attrited
0,838,Retained
0,786,Retained
0,509,Retained
1,328,Attrited
0,347,Retained
0,534,Retained
0,709,Retained
0,749,Retained
1,541,Attrited
0,736,Retained
0,529,Retained
0,594,Retained
1,462,Attrited
0,429,Retained
0,370,Retained
0,510,Retained
0,638,Retained
0,462,Retained
0,718,Retained
1,437,Attrited
1,485,Attrited
1,410,Attrited
0,666,Retained
0,730,Retained
0,375,Retained
0,411,Retained
0,595,Retained
0,578,Retained
0,377,Retained
0,831,Retained
0,497,Retained
0,374,Retained
1,814,Attrited
1,247,Attrited
0,965,Retained
0,912,Retained
0,462,Retained
1,883,Attrited
1,402,Attrited
0,764,Retained
0,608,Retained
0,652,Retained
0,520,Retained
0,884,Retained
0,800,Retained
1,697,Attrited
0,427,Retained
0,620,Retained
0,318,Retained
1,701,Attrited
0,953,Retained
0,635,Retained
0,250,Retained
0,662,Retained
0,666,Retained
0,699,Retained
0,855,Retained
0,534,Retained
1,388,Attrited
0,612,Retained
1,801,Attrited
0,561,Retained
1,308,Attrited
0,643,Retained
0,249,Retained
0,818,Retained
1,775,Attrited
0,872,Retained
0,435,Retained
0,415,Retained
0,430,Retained
0,929,Retained
0,681,Retained
1,810,Attrited
0,739,Retained
0,280,Retained
0,250,Retained
0,991,Retained
1,482,Attrited
0,423,Retained
0,260,Retained
0,642,Retained
0,701,Retained
0,570,Retained
1,790,Attrited
0,727,Retained
0,909,Retained
0,799,Retained
0,520,Retained
0,861,Retained
0,512,Retained
0,478,Retained
0,374,Retained
0,280,Retained
0,615,Retained
0,435,Retained
1,509,Attrited
1,321,Attrited
0,726,Retained
0,516,Retained
1,639,Attrited
0,512,Retained
1,730,Attrited
0,244,Retained
0,292,Retained
0,245,Retained
0,848,Retained
0,974,Retained
0,958,Retained
1,629,Attrited
0,310,Retained
0,621,Retained
1,924,Attrited
1,359,Attrited
0,811,Retained
0,583,Retained
0,959,Retained
1,359,Attrited
1,901,Attrited
0,729,Retained
0,829,Retained
1,790,Attrited
1,756,Attrited
0,873,Retained
0,865,Retained
0,690,Retained
0,722,Retained
0,535,Retained
0,580,Retained
1,709,Attrited
0,930,Retained
1,264,Attrited
1,943,Attrited
0,388,Retained
0,248,Retained
0,763,Retained
0,619,Retained
1,815,Attrited
0,566,Retained
1,774,Attrited
0,695,Retained
0,902,Retained
0,532,Retained
1,718,Attrited
0,895,Retained
0,749,Retained
0,333,Retained
0,866,Retained
0,671,Retained
0,670,Retained
0,768,Retained
0,565,Retained
0,483,Retained
0,926,Retained
0,932,Retained
0,901,Retained
0,299,Retained
0,899,Retained
0,467,Retained
0,717,Retained
0,549,Retained
0,545,Retained
1,716,Attrited
0,650,Retained
0,693,Retained
1,759,Attrited
0,946,Retained
0,402,Retained
0,465,Retained
0,799,Retained
1,600,Attrited
0,306,Retained
0,635,Retained
1,747,Attrited
0,424,Retained
0,913,Retained
1,751,Attrited
0,899,Retained
0,219,Retained
0,587,Retained
0,861,Retained
0,278,Retained
0,526,Retained
0,632,Retained
0,301,Retained
0,806,Retained
0,250,Retained
1,563,Attrited
0,861,Retained
0,790,Retained
0,669,Retained
1,336,Attrited
0,517,Retained
0,499,Retained
0,673,Retained
0,268,Retained
0,809,Retained
0,460,Retained
0,221,Retained
0,730,Retained
1,777,Attrited
0,837,Retained
1,958,Attrited
0,809,Retained
0,662,Retained
0,484,Retained
0,737,Retained
0,486,Retained
0,252,Retained
0,275,Retained
1,245,Attrited
0,361,Retained
0,483,Retained
0,352,Retained
0,337,Retained
0,597,Retained
1,381,Attrited
0,668,Retained
0,245,Retained
0,495,Retained
0,378,Retained
1,568,Attrited
0,731,Retained
0,837,Retained
0,829,Retained
0,230,Retained
0,919,Retained
1,641,Attrited
0,457,Retained
1,583,Attrited
0,849,Retained
0,720,Retained
1,317,Attrited
1,465,Attrited
1,269,Attrited
0,391,Retained
0,373,Retained
0,251,Retained
0,237,Retained
0,645,Retained
0,624,Retained
0,838,Retained
0,224,Retained
0,343,Retained
0,683,Retained
0,929,Retained
0,234,Retained
0,723,Retained
0,482,Retained
0,231,Retained
0,244,Retained
1,973,Attrited
0,463,Retained
0,253,Retained
0,241,Retained
1,537,Attrited
0,332,Retained
0,390,Retained
0,763,Retained
0,240,Retained
