Exited,CreditScore,Attrition_Status
1,619,Attrited
0,608,Retained
1,502,Attrited
0,699,Retained
0,850,Retained
1,645,Attrited
0,822,Retained
1,376,Attrited
0,501,Retained
0,684,Retained
0,528,Retained
0,497,Retained
0,476,Retained
0,549,Retained
0,635,Retained
0,616,Retained
1,653,Attrited
0,549,Retained
0,587,Retained
0,726,Retained
0,732,Retained
0,636,Retained
1,510,Attrited
0,669,Retained
0,846,Retained
0,577,Retained
0,756,Retained
0,571,Retained
0,574,Retained
0,411,Retained
1,591,Attrited
0,533,Retained
0,553,Retained
0,520,Retained
0,722,Retained
1,475,Attrited
0,490,Retained
0,804,Retained
0,850,Retained
0,582,Retained
0,472,Retained
1,465,Attrited
0,556,Retained
1,834,Attrited
0,660,Retained
0,776,Retained
1,829,Attrited
1,637,Attrited
0,550,Retained
0,776,Retained
0,698,Retained
0,585,Retained
0,788,Retained
1,655,Attrited
1,601,Attrited
0,619,Retained
0,656,Retained
0,725,Retained
1,511,Attrited
0,614,Retained
0,742,Retained
0,687,Retained
0,555,Retained
0,684,Retained
0,603,Retained
0,751,Retained
0,581,Retained
0,735,Retained
0,661,Retained
0,675,Retained
1,738,Attrited
0,813,Retained
0,657,Retained
0,604,Retained
0,519,Retained
0,735,Retained
0,664,Retained
0,678,Retained
0,757,Retained
0,416,Retained
0,665,Retained
1,777,Attrited
0,543,Retained
0,506,Retained
0,493,Retained
0,652,Retained
1,750,Attrited
0,729,Retained
1,646,Attrited
0,635,Retained
1,647,Attrited
0,808,Retained
0,524,Retained
0,769,Retained
0,730,Retained
0,515,Retained
0,773,Retained
0,814,Retained
0,710,Retained
0,413,Retained
0,665,Retained
0,623,Retained
0,738,Retained
0,528,Retained
1,670,Attrited
1,622,Attrited
0,582,Retained
0,785,Retained
0,605,Retained
1,479,Attrited
0,685,Retained
0,538,Retained
0,562,Retained
0,675,Retained
1,721,Attrited
0,628,Retained
0,668,Retained
0,506,Retained
1,524,Attrited
0,699,Retained
0,828,Retained
0,674,Retained
0,656,Retained
0,684,Retained
0,625,Retained
1,432,Attrited
1,549,Attrited
1,625,Attrited
0,828,Retained
0,770,Retained
0,758,Retained
0,795,Retained
0,687,Retained
0,686,Retained
0,789,Retained
0,589,Retained
0,461,Retained
0,637,Retained
1,584,Attrited
1,579,Attrited
0,756,Retained
0,663,Retained
0,682,Retained
1,793,Attrited
1,691,Attrited
0,485,Retained
0,635,Retained
0,650,Retained
0,735,Retained
0,416,Retained
0,754,Retained
1,535,Attrited
0,716,Retained
0,539,Retained
0,614,Retained
1,706,Attrited
0,758,Retained
0,586,Retained
0,646,Retained
0,631,Retained
0,717,Retained
0,684,Retained
0,800,Retained
0,721,Retained
1,683,Attrited
0,660,Retained
1,704,Attrited
0,615,Retained
1,667,Attrited
0,682,Retained
0,484,Retained
0,628,Retained
1,480,Attrited
0,578,Retained
0,512,Retained
0,484,Retained
0,510,Retained
0,606,Retained
0,597,Retained
1,754,Attrited
0,850,Retained
0,510,Retained
0,778,Retained
0,636,Retained
1,804,Attrited
0,514,Retained
0,730,Retained
0,525,Retained
0,616,Retained
0,687,Retained
1,715,Attrited
0,512,Retained
0,479,Retained
0,601,Retained
0,580,Retained
0,807,Retained
0,616,Retained
0,721,Retained
0,501,Retained
0,521,Retained
0,850,Retained
0,759,Retained
1,516,Attrited
1,711,Attrited
0,512,Retained
0,550,Retained
1,608,Attrited
0,618,Retained
1,643,Attrited
0,671,Retained
0,689,Retained
0,603,Retained
0,620,Retained
0,676,Retained
0,572,Retained
1,668,Attrited
0,695,Retained
0,730,Retained
1,807,Attrited
1,592,Attrited
0,726,Retained
0,514,Retained
0,567,Retained
1,850,Attrited
1,671,Attrited
0,670,Retained
0,694,Retained
1,547,Attrited
1,751,Attrited
0,594,Retained
0,673,Retained
0,610,Retained
